story_id,prediction,rationale,json_saved
story_01,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_01.json
story_02,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_02.json
story_03,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_03.json
story_04,0,Contradiction detected: Mock analysis: Detected a logical conflict in the narrative based on input hash. (Evidence: Mock evidence quote derived from text.),Saved results/dossier_story_04.json
story_05,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_05.json
story_06,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_06.json
story_07,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_07.json
story_08,1,Backstory is consistent with retrieved narrative events.,Saved results/dossier_story_08.json
story_09,0,Contradiction detected: Mock analysis: Detected a logical conflict in the narrative based on input hash. (Evidence: Mock evidence quote derived from text.),Saved results/dossier_story_09.json
story_10,0,Contradiction detected: Mock analysis: Detected a logical conflict in the narrative based on input hash. (Evidence: Mock evidence quote derived from text.),Saved results/dossier_story_10.json
story_11,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_11.json
story_12,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_12.json
story_13,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_13.json
story_14,1,Backstory is consistent with retrieved narrative events.,Saved results/dossier_story_14.json
story_15,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_15.json
story_16,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_16.json
Story_17,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_Story_17.json
story_18,0,Contradiction detected: Mock analysis: Detected a logical conflict in the narrative based on input hash. (Evidence: Mock evidence quote derived from text.),Saved results/dossier_story_18.json
story_19,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_19.json
story_20,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_20.json
story_21,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_21.json
story_22,0,Contradiction detected: Mock analysis: Detected a logical conflict in the narrative based on input hash. (Evidence: Mock evidence quote derived from text.),Saved results/dossier_story_22.json
story_23,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_23.json
story_24,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_24.json
story_25,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_25.json
story_26,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_26.json
story_27,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_27.json
story_28,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_28.json
story_29,0,Contradiction detected: Behavioral Contradiction detected: Claim mentions 'always' but Evidence mentions 'never'. (Evidence: ...never...),Saved results/dossier_story_29.json
story_30,1,Backstory is consistent with retrieved narrative events.,Saved results/dossier_story_30.json
